Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Enterprise,France, Carretera , Low ," $4,243.50 ", $3.00 , $125.00 ," $530,437.50 "," $15,913.13 "," $514,524.38 "," $509,220.00 "," $5,304.38 ",4/1/2014,4, April ,2014
Government,Germany, Carretera , Low ," $2,580.00 ", $3.00 , $20.00 ," $51,600.00 "," $1,548.00 "," $50,052.00 "," $25,800.00 "," $24,252.00 ",4/1/2014,4, April ,2014
Small Business,Germany, Carretera , Low , $689.00 , $3.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $172,250.00 "," $28,249.00 ",6/1/2014,6, June ,2014
Channel Partners,United States of America, Carretera , Low ," $1,947.00 ", $3.00 , $12.00 ," $23,364.00 ", $700.92 ," $22,663.08 "," $5,841.00 "," $16,822.08 ",9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Low , $908.00 , $3.00 , $12.00 ," $10,896.00 ", $326.88 ," $10,569.12 "," $2,724.00 "," $7,845.12 ",12/1/2013,12, December ,2013
Government,Germany, Montana , Low ," $1,958.00 ", $5.00 , $7.00 ," $13,706.00 ", $411.18 ," $13,294.82 "," $9,790.00 "," $3,504.82 ",2/1/2014,2, February ,2014
Channel Partners,France, Montana , Low ," $1,901.00 ", $5.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $5,703.00 "," $16,424.64 ",6/1/2014,6, June ,2014
Government,France, Montana , Low , $544.00 , $5.00 , $7.00 ," $3,808.00 ", $114.24 ," $3,693.76 "," $2,720.00 ", $973.76 ,9/1/2014,9, September ,2014
Government,Germany, Montana , Low ," $1,797.00 ", $5.00 , $350.00 ," $628,950.00 "," $18,868.50 "," $610,081.50 "," $467,220.00 "," $142,861.50 ",9/1/2013,9, September ,2013
Enterprise,France, Montana , Low ," $1,287.00 ", $5.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $154,440.00 "," $1,608.75 ",12/1/2014,12, December ,2014
Enterprise,Germany, Montana , Low ," $1,706.00 ", $5.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $204,720.00 "," $2,132.50 ",12/1/2014,12, December ,2014
Small Business,France, Paseo , Low ," $2,434.50 ", $10.00 , $300.00 ," $730,350.00 "," $21,910.50 "," $708,439.50 "," $608,625.00 "," $99,814.50 ",1/1/2014,1, January ,2014
Enterprise,Canada, Paseo , Low ," $1,774.00 ", $10.00 , $125.00 ," $221,750.00 "," $6,652.50 "," $215,097.50 "," $212,880.00 "," $2,217.50 ",3/1/2014,3, March ,2014
Channel Partners,France, Paseo , Low ," $1,901.00 ", $10.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $5,703.00 "," $16,424.64 ",6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low , $689.00 , $10.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $172,250.00 "," $28,249.00 ",6/1/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ," $1,570.00 ", $10.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $188,400.00 "," $1,962.50 ",6/1/2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ," $1,369.50 ", $10.00 , $12.00 ," $16,434.00 ", $493.02 ," $15,940.98 "," $4,108.50 "," $11,832.48 ",7/1/2014,7, July ,2014
Enterprise,Canada, Paseo , Low ," $2,009.00 ", $10.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $241,080.00 "," $2,511.25 ",10/1/2014,10, October ,2014
Midmarket,Germany, Paseo , Low ," $1,945.00 ", $10.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $19,450.00 "," $8,849.75 ",10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ," $1,287.00 ", $10.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $154,440.00 "," $1,608.75 ",12/1/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ," $1,706.00 ", $10.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $204,720.00 "," $2,132.50 ",12/1/2014,12, December ,2014
Enterprise,Canada, Velo , Low ," $2,009.00 ", $120.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $241,080.00 "," $2,511.25 ",10/1/2014,10, October ,2014
Small Business,United States of America, VTT , Low ," $2,844.00 ", $250.00 , $300.00 ," $853,200.00 "," $25,596.00 "," $827,604.00 "," $711,000.00 "," $116,604.00 ",2/1/2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ," $1,916.00 ", $250.00 , $12.00 ," $22,992.00 ", $689.76 ," $22,302.24 "," $5,748.00 "," $16,554.24 ",4/1/2014,4, April ,2014
Enterprise,Germany, VTT , Low ," $1,570.00 ", $250.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $188,400.00 "," $1,962.50 ",6/1/2014,6, June ,2014
Small Business,Canada, VTT , Low ," $1,874.00 ", $250.00 , $300.00 ," $562,200.00 "," $16,866.00 "," $545,334.00 "," $468,500.00 "," $76,834.00 ",8/1/2014,8, August ,2014
Government,Mexico, VTT , Low ," $1,642.00 ", $250.00 , $350.00 ," $574,700.00 "," $17,241.00 "," $557,459.00 "," $426,920.00 "," $130,539.00 ",8/1/2014,8, August ,2014
Midmarket,Germany, VTT , Low ," $1,945.00 ", $250.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $19,450.00 "," $8,849.75 ",10/1/2013,10, October ,2013
Government,Canada, Carretera , Low , $831.00 , $3.00 , $20.00 ," $16,620.00 ", $498.60 ," $16,121.40 "," $8,310.00 "," $7,811.40 ",5/1/2014,5, May ,2014
Government,Mexico, Paseo , Low ," $1,760.00 ", $10.00 , $7.00 ," $12,320.00 ", $369.60 ," $11,950.40 "," $8,800.00 "," $3,150.40 ",9/1/2013,9, September ,2013
Government,Canada, Velo , Low ," $3,850.50 ", $120.00 , $20.00 ," $77,010.00 "," $2,310.30 "," $74,699.70 "," $38,505.00 "," $36,194.70 ",4/1/2014,4, April ,2014
Channel Partners,Germany, VTT , Low ," $2,479.00 ", $250.00 , $12.00 ," $29,748.00 ", $892.44 ," $28,855.56 "," $7,437.00 "," $21,418.56 ",1/1/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ," $2,031.00 ", $5.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $20,310.00 "," $8,936.40 ",10/1/2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ," $2,031.00 ", $10.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $20,310.00 "," $8,936.40 ",10/1/2014,10, October ,2014
Midmarket,France, Paseo , Low ," $2,261.00 ", $10.00 , $15.00 ," $33,915.00 "," $1,356.60 "," $32,558.40 "," $22,610.00 "," $9,948.40 ",12/1/2013,12, December ,2013
Government,United States of America, Velo , Low , $736.00 , $120.00 , $20.00 ," $14,720.00 ", $588.80 ," $14,131.20 "," $7,360.00 "," $6,771.20 ",9/1/2013,9, September ,2013
Government,Canada, Carretera , Low ," $2,851.00 ", $3.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $14,255.00 "," $4,903.72 ",10/1/2013,10, October ,2013
Small Business,Germany, Carretera , Low ," $2,021.00 ", $3.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $505,250.00 "," $76,798.00 ",10/1/2014,10, October ,2014
Government,United States of America, Carretera , Low , $274.00 , $3.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $71,240.00 "," $20,824.00 ",12/1/2014,12, December ,2014
Midmarket,Canada, Montana , Low ," $1,967.00 ", $5.00 , $15.00 ," $29,505.00 "," $1,180.20 "," $28,324.80 "," $19,670.00 "," $8,654.80 ",3/1/2014,3, March ,2014
Small Business,Germany, Montana , Low ," $1,859.00 ", $5.00 , $300.00 ," $557,700.00 "," $22,308.00 "," $535,392.00 "," $464,750.00 "," $70,642.00 ",8/1/2014,8, August ,2014
Government,Canada, Montana , Low ," $2,851.00 ", $5.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $14,255.00 "," $4,903.72 ",10/1/2013,10, October ,2013
Small Business,Germany, Montana , Low ," $2,021.00 ", $5.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $505,250.00 "," $76,798.00 ",10/1/2014,10, October ,2014
Enterprise,Mexico, Montana , Low ," $1,138.00 ", $5.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $136,560.00 ", $-   ,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ," $4,251.00 ", $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 "," $21,255.00 "," $7,311.72 ",1/1/2014,1, January ,2014
Enterprise,Germany, Paseo , Low , $795.00 , $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 "," $95,400.00 ", $-   ,3/1/2014,3, March ,2014
Small Business,Germany, Paseo , Low ," $1,414.50 ", $10.00 , $300.00 ," $424,350.00 "," $16,974.00 "," $407,376.00 "," $353,625.00 "," $53,751.00 ",4/1/2014,4, April ,2014
Small Business,United States of America, Paseo , Low ," $2,918.00 ", $10.00 , $300.00 ," $875,400.00 "," $35,016.00 "," $840,384.00 "," $729,500.00 "," $110,884.00 ",5/1/2014,5, May ,2014
Government,United States of America, Paseo , Low ," $3,450.00 ", $10.00 , $350.00 ," $1,207,500.00 "," $48,300.00 "," $1,159,200.00 "," $897,000.00 "," $262,200.00 ",7/1/2014,7, July ,2014
Enterprise,France, Paseo , Low ," $2,988.00 ", $10.00 , $125.00 ," $373,500.00 "," $14,940.00 "," $358,560.00 "," $358,560.00 ", $-   ,7/1/2014,7, July ,2014
Midmarket,Canada, Paseo , Low , $218.00 , $10.00 , $15.00 ," $3,270.00 ", $130.80 ," $3,139.20 "," $2,180.00 ", $959.20 ,9/1/2014,9, September ,2014
Government,Canada, Paseo , Low ," $2,074.00 ", $10.00 , $20.00 ," $41,480.00 "," $1,659.20 "," $39,820.80 "," $20,740.00 "," $19,080.80 ",9/1/2014,9, September ,2014
Government,United States of America, Paseo , Low ," $1,056.00 ", $10.00 , $20.00 ," $21,120.00 ", $844.80 ," $20,275.20 "," $10,560.00 "," $9,715.20 ",9/1/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low , $671.00 , $10.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 "," $6,710.00 "," $2,952.40 ",10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , Low ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",10/1/2013,10, October ,2013
Government,United States of America, Paseo , Low , $274.00 , $10.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $71,240.00 "," $20,824.00 ",12/1/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ," $1,138.00 ", $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $136,560.00 ", $-   ,12/1/2014,12, December ,2014
Channel Partners,United States of America, Velo , Low ," $1,465.00 ", $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 "," $4,395.00 "," $12,481.80 ",3/1/2014,3, March ,2014
Government,Canada, Velo , Low ," $2,646.00 ", $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 "," $26,460.00 "," $24,343.20 ",9/1/2013,9, September ,2013
Government,France, Velo , Low ," $2,177.00 ", $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",10/1/2014,10, October ,2014
Channel Partners,France, VTT , Low , $866.00 , $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $2,598.00 "," $7,378.32 ",5/1/2014,5, May ,2014
Government,United States of America, VTT , Low , $349.00 , $250.00 , $350.00 ," $122,150.00 "," $4,886.00 "," $117,264.00 "," $90,740.00 "," $26,524.00 ",9/1/2013,9, September ,2013
Government,France, VTT , Low ," $2,177.00 ", $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",10/1/2014,10, October ,2014
Midmarket,Mexico, VTT , Low ," $1,514.00 ", $250.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",10/1/2013,10, October ,2013
Government,Mexico, Amarilla , Low ," $1,865.00 ", $260.00 , $350.00 ," $652,750.00 "," $26,110.00 "," $626,640.00 "," $484,900.00 "," $141,740.00 ",2/1/2014,2, February ,2014
Enterprise,Mexico, Amarilla , Low ," $1,074.00 ", $260.00 , $125.00 ," $134,250.00 "," $5,370.00 "," $128,880.00 "," $128,880.00 ", $-   ,4/1/2014,4, April ,2014
Government,Germany, Amarilla , Low ," $1,907.00 ", $260.00 , $350.00 ," $667,450.00 "," $26,698.00 "," $640,752.00 "," $495,820.00 "," $144,932.00 ",9/1/2014,9, September ,2014
Midmarket,United States of America, Amarilla , Low , $671.00 , $260.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 "," $6,710.00 "," $2,952.40 ",10/1/2013,10, October ,2013
Government,Canada, Amarilla , Low ," $1,778.00 ", $260.00 , $350.00 ," $622,300.00 "," $24,892.00 "," $597,408.00 "," $462,280.00 "," $135,128.00 ",12/1/2013,12, December ,2013
Government,Germany, Montana , Medium ," $1,159.00 ", $5.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $5,795.00 "," $1,912.35 ",10/1/2013,10, October ,2013
Government,Germany, Paseo , Medium ," $1,372.00 ", $10.00 , $7.00 ," $9,604.00 ", $480.20 ," $9,123.80 "," $6,860.00 "," $2,263.80 ",1/1/2014,1, January ,2014
Government,Canada, Paseo , Medium ," $2,349.00 ", $10.00 , $7.00 ," $16,443.00 ", $822.15 ," $15,620.85 "," $11,745.00 "," $3,875.85 ",9/1/2013,9, September ,2013
Government,Mexico, Paseo , Medium ," $2,689.00 ", $10.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 "," $13,445.00 "," $4,436.85 ",10/1/2014,10, October ,2014
Channel Partners,Canada, Paseo , Medium ," $2,431.00 ", $10.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $7,293.00 "," $20,420.40 ",12/1/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ," $2,431.00 ", $120.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $7,293.00 "," $20,420.40 ",12/1/2014,12, December ,2014
Government,Mexico, VTT , Medium ," $2,689.00 ", $250.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 "," $13,445.00 "," $4,436.85 ",10/1/2014,10, October ,2014
Government,Mexico, Amarilla , Medium ," $1,683.00 ", $260.00 , $7.00 ," $11,781.00 ", $589.05 ," $11,191.95 "," $8,415.00 "," $2,776.95 ",7/1/2014,7, July ,2014
Channel Partners,Mexico, Amarilla , Medium ," $1,123.00 ", $260.00 , $12.00 ," $13,476.00 ", $673.80 ," $12,802.20 "," $3,369.00 "," $9,433.20 ",8/1/2014,8, August ,2014
Government,Germany, Amarilla , Medium ," $1,159.00 ", $260.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $5,795.00 "," $1,912.35 ",10/1/2013,10, October ,2013
Channel Partners,France, Carretera , Medium ," $1,865.00 ", $3.00 , $12.00 ," $22,380.00 "," $1,119.00 "," $21,261.00 "," $5,595.00 "," $15,666.00 ",2/1/2014,2, February ,2014
Channel Partners,Germany, Carretera , Medium ," $1,116.00 ", $3.00 , $12.00 ," $13,392.00 ", $669.60 ," $12,722.40 "," $3,348.00 "," $9,374.40 ",2/1/2014,2, February ,2014
Government,France, Carretera , Medium ," $1,563.00 ", $3.00 , $20.00 ," $31,260.00 "," $1,563.00 "," $29,697.00 "," $15,630.00 "," $14,067.00 ",5/1/2014,5, May ,2014
Small Business,United States of America, Carretera , Medium , $991.00 , $3.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 "," $247,750.00 "," $34,685.00 ",6/1/2014,6, June ,2014
Government,Germany, Carretera , Medium ," $1,016.00 ", $3.00 , $7.00 ," $7,112.00 ", $355.60 ," $6,756.40 "," $5,080.00 "," $1,676.40 ",11/1/2013,11, November ,2013
Midmarket,Mexico, Carretera , Medium ," $2,791.00 ", $3.00 , $15.00 ," $41,865.00 "," $2,093.25 "," $39,771.75 "," $27,910.00 "," $11,861.75 ",11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium , $570.00 , $3.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 "," $2,850.00 ", $940.50 ,12/1/2014,12, December ,2014
Government,France, Carretera , Medium ," $2,487.00 ", $3.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $12,435.00 "," $4,103.55 ",12/1/2014,12, December ,2014
Government,France, Montana , Medium ," $1,384.50 ", $5.00 , $350.00 ," $484,575.00 "," $24,228.75 "," $460,346.25 "," $359,970.00 "," $100,376.25 ",1/1/2014,1, January ,2014
Enterprise,United States of America, Montana , Medium ," $3,627.00 ", $5.00 , $125.00 ," $453,375.00 "," $22,668.75 "," $430,706.25 "," $435,240.00 "," $(4,533.75)",7/1/2014,7, July ,2014
Government,Mexico, Montana , Medium , $720.00 , $5.00 , $350.00 ," $252,000.00 "," $12,600.00 "," $239,400.00 "," $187,200.00 "," $52,200.00 ",9/1/2013,9, September ,2013
Channel Partners,Germany, Montana , Medium ," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $1,405.20 "," $26,698.80 "," $7,026.00 "," $19,672.80 ",11/1/2014,11, November ,2014
Small Business,Mexico, Montana , Medium ," $1,100.00 ", $5.00 , $300.00 ," $330,000.00 "," $16,500.00 "," $313,500.00 "," $275,000.00 "," $38,500.00 ",12/1/2013,12, December ,2013
Government,France, Paseo , Medium ," $1,303.00 ", $10.00 , $20.00 ," $26,060.00 "," $1,303.00 "," $24,757.00 "," $13,030.00 "," $11,727.00 ",2/1/2014,2, February ,2014
Enterprise,United States of America, Paseo , Medium ," $2,992.00 ", $10.00 , $125.00 ," $374,000.00 "," $18,700.00 "," $355,300.00 "," $359,040.00 "," $(3,740.00)",3/1/2014,3, March ,2014
Enterprise,France, Paseo , Medium ," $2,385.00 ", $10.00 , $125.00 ," $298,125.00 "," $14,906.25 "," $283,218.75 "," $286,200.00 "," $(2,981.25)",3/1/2014,3, March ,2014
Small Business,Mexico, Paseo , Medium ," $1,607.00 ", $10.00 , $300.00 ," $482,100.00 "," $24,105.00 "," $457,995.00 "," $401,750.00 "," $56,245.00 ",4/1/2014,4, April ,2014
Government,United States of America, Paseo , Medium ," $2,327.00 ", $10.00 , $7.00 ," $16,289.00 ", $814.45 ," $15,474.55 "," $11,635.00 "," $3,839.55 ",5/1/2014,5, May ,2014
Small Business,United States of America, Paseo , Medium , $991.00 , $10.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 "," $247,750.00 "," $34,685.00 ",6/1/2014,6, June ,2014
Government,United States of America, Paseo , Medium , $602.00 , $10.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 "," $156,520.00 "," $43,645.00 ",6/1/2014,6, June ,2014
Midmarket,France, Paseo , Medium ," $2,620.00 ", $10.00 , $15.00 ," $39,300.00 "," $1,965.00 "," $37,335.00 "," $26,200.00 "," $11,135.00 ",9/1/2014,9, September ,2014
Government,Canada, Paseo , Medium ," $1,228.00 ", $10.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $319,280.00 "," $89,030.00 ",10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ," $1,389.00 ", $10.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $13,890.00 "," $12,501.00 ",10/1/2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium , $861.00 , $10.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 "," $103,320.00 "," $(1,076.25)",10/1/2014,10, October ,2014
Enterprise,France, Paseo , Medium , $704.00 , $10.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 "," $84,480.00 ", $(880.00),10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ," $1,802.00 ", $10.00 , $20.00 ," $36,040.00 "," $1,802.00 "," $34,238.00 "," $18,020.00 "," $16,218.00 ",12/1/2013,12, December ,2013
Government,United States of America, Paseo , Medium ," $2,663.00 ", $10.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 "," $26,630.00 "," $23,967.00 ",12/1/2014,12, December ,2014
Government,France, Paseo , Medium ," $2,136.00 ", $10.00 , $7.00 ," $14,952.00 ", $747.60 ," $14,204.40 "," $10,680.00 "," $3,524.40 ",12/1/2013,12, December ,2013
Midmarket,Germany, Paseo , Medium ," $2,116.00 ", $10.00 , $15.00 ," $31,740.00 "," $1,587.00 "," $30,153.00 "," $21,160.00 "," $8,993.00 ",12/1/2013,12, December ,2013
Midmarket,United States of America, Velo , Medium , $555.00 , $120.00 , $15.00 ," $8,325.00 ", $416.25 ," $7,908.75 "," $5,550.00 "," $2,358.75 ",1/1/2014,1, January ,2014
Midmarket,Mexico, Velo , Medium ," $2,861.00 ", $120.00 , $15.00 ," $42,915.00 "," $2,145.75 "," $40,769.25 "," $28,610.00 "," $12,159.25 ",1/1/2014,1, January ,2014
Enterprise,Germany, Velo , Medium , $807.00 , $120.00 , $125.00 ," $100,875.00 "," $5,043.75 "," $95,831.25 "," $96,840.00 "," $(1,008.75)",2/1/2014,2, February ,2014
Government,United States of America, Velo , Medium , $602.00 , $120.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 "," $156,520.00 "," $43,645.00 ",6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ," $2,832.00 ", $120.00 , $20.00 ," $56,640.00 "," $2,832.00 "," $53,808.00 "," $28,320.00 "," $25,488.00 ",8/1/2014,8, August ,2014
Government,France, Velo , Medium ," $1,579.00 ", $120.00 , $20.00 ," $31,580.00 "," $1,579.00 "," $30,001.00 "," $15,790.00 "," $14,211.00 ",8/1/2014,8, August ,2014
Enterprise,United States of America, Velo , Medium , $861.00 , $120.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 "," $103,320.00 "," $(1,076.25)",10/1/2014,10, October ,2014
Enterprise,France, Velo , Medium , $704.00 , $120.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 "," $84,480.00 ", $(880.00),10/1/2013,10, October ,2013
Government,France, Velo , Medium ," $1,033.00 ", $120.00 , $20.00 ," $20,660.00 "," $1,033.00 "," $19,627.00 "," $10,330.00 "," $9,297.00 ",12/1/2013,12, December ,2013
Small Business,Germany, Velo , Medium ," $1,250.00 ", $120.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $312,500.00 "," $43,750.00 ",12/1/2014,12, December ,2014
Government,Canada, VTT , Medium ," $1,389.00 ", $250.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $13,890.00 "," $12,501.00 ",10/1/2013,10, October ,2013
Government,United States of America, VTT , Medium ," $1,265.00 ", $250.00 , $20.00 ," $25,300.00 "," $1,265.00 "," $24,035.00 "," $12,650.00 "," $11,385.00 ",11/1/2013,11, November ,2013
Government,Germany, VTT , Medium ," $2,297.00 ", $250.00 , $20.00 ," $45,940.00 "," $2,297.00 "," $43,643.00 "," $22,970.00 "," $20,673.00 ",11/1/2013,11, November ,2013
Government,United States of America, VTT , Medium ," $2,663.00 ", $250.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 "," $26,630.00 "," $23,967.00 ",12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium , $570.00 , $250.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 "," $2,850.00 ", $940.50 ,12/1/2014,12, December ,2014
Government,France, VTT , Medium ," $2,487.00 ", $250.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $12,435.00 "," $4,103.55 ",12/1/2014,12, December ,2014
Government,Germany, Amarilla , Medium ," $1,350.00 ", $260.00 , $350.00 ," $472,500.00 "," $23,625.00 "," $448,875.00 "," $351,000.00 "," $97,875.00 ",2/1/2014,2, February ,2014
Government,Canada, Amarilla , Medium , $552.00 , $260.00 , $350.00 ," $193,200.00 "," $9,660.00 "," $183,540.00 "," $143,520.00 "," $40,020.00 ",8/1/2014,8, August ,2014
Government,Canada, Amarilla , Medium ," $1,228.00 ", $260.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $319,280.00 "," $89,030.00 ",10/1/2013,10, October ,2013
Small Business,Germany, Amarilla , Medium ," $1,250.00 ", $260.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $312,500.00 "," $43,750.00 ",12/1/2014,12, December ,2014
Midmarket,France, Paseo , Medium ," $3,801.00 ", $10.00 , $15.00 ," $57,015.00 "," $3,420.90 "," $53,594.10 "," $38,010.00 "," $15,584.10 ",4/1/2014,4, April ,2014
Government,United States of America, Carretera , Medium ," $1,117.50 ", $3.00 , $20.00 ," $22,350.00 "," $1,341.00 "," $21,009.00 "," $11,175.00 "," $9,834.00 ",1/1/2014,1, January ,2014
Midmarket,Canada, Carretera , Medium ," $2,844.00 ", $3.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $28,440.00 "," $11,660.40 ",6/1/2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium , $562.00 , $3.00 , $12.00 ," $6,744.00 ", $404.64 ," $6,339.36 "," $1,686.00 "," $4,653.36 ",9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Medium ," $2,299.00 ", $3.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 "," $6,897.00 "," $19,035.72 ",10/1/2013,10, October ,2013
Midmarket,United States of America, Carretera , Medium ," $2,030.00 ", $3.00 , $15.00 ," $30,450.00 "," $1,827.00 "," $28,623.00 "," $20,300.00 "," $8,323.00 ",11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium , $263.00 , $3.00 , $7.00 ," $1,841.00 ", $110.46 ," $1,730.54 "," $1,315.00 ", $415.54 ,11/1/2013,11, November ,2013
Enterprise,Germany, Carretera , Medium , $887.00 , $3.00 , $125.00 ," $110,875.00 "," $6,652.50 "," $104,222.50 "," $106,440.00 "," $(2,217.50)",12/1/2013,12, December ,2013
Government,Mexico, Montana , Medium , $980.00 , $5.00 , $350.00 ," $343,000.00 "," $20,580.00 "," $322,420.00 "," $254,800.00 "," $67,620.00 ",4/1/2014,4, April ,2014
Government,Germany, Montana , Medium ," $1,460.00 ", $5.00 , $350.00 ," $511,000.00 "," $30,660.00 "," $480,340.00 "," $379,600.00 "," $100,740.00 ",5/1/2014,5, May ,2014
Government,France, Montana , Medium ," $1,403.00 ", $5.00 , $7.00 ," $9,821.00 ", $589.26 ," $9,231.74 "," $7,015.00 "," $2,216.74 ",10/1/2013,10, October ,2013
Channel Partners,United States of America, Montana , Medium ," $2,723.00 ", $5.00 , $12.00 ," $32,676.00 "," $1,960.56 "," $30,715.44 "," $8,169.00 "," $22,546.44 ",11/1/2014,11, November ,2014
Government,France, Paseo , Medium ," $1,496.00 ", $10.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 "," $388,960.00 "," $103,224.00 ",6/1/2014,6, June ,2014
